"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30"
"gene001",10.3709584471467,9.32192526520395,10.2009653755985,8.95930152484878,6.99907076226849,7.90384375844114,8.99537923217354,9.72417380068337,10.3349125853755,7.69617884635513,7.02914071931376,4.43873421384296,5.75151706681007,6.84479222322324,6.29469235648569,4.39193982505531,6.68880775234206,4.96747286289489,6.94192421733092,7.30543834214107,8.32505849371513,6.22656357387938,5.34971557151209,5.78432615329536,5.25348354826323,4.44841669231409,4.81445306344122,5.59536315995832,6.87729465182676,6.12403480689883
"gene002",5.43530182860391,5.21616105911962,7.04475108716773,4.44845517765241,6.33377719743357,6.0490504509376,6.76024216766205,5.16744717423579,5.13072823612456,5.74908553495754,9.91477486771961,9.3247706605947,9.42232038583239,8.95802847567844,9.39274126542073,7.05021620395801,9.72508301767486,9.55734600412276,8.75138596272044,10.7953238714408,6.52412218115109,6.42164357975321,4.99681677168664,7.06297852007115,6.03660612043192,5.61182056997548,5.34161070930296,5.85423077573753,4.22662856106631,5.22194525278735
"gene003",6.36312841133734,7.57572751979198,4.99679135316015,7.16716954923568,7.17132512735879,4.80150414344222,6.03899091287256,6.73252848676841,6.0554869546651,6.17100737371791,5.99754373332044,5.84320968304776,6.98765329363967,4.89442409429997,4.99915628699918,5.65930008176902,6.21738021093909,5.74441857690048,6.09647885970648,4.83216477252655,9.97073341640859,9.0048379437241,8.46488608712552,9.62034652658024,9.32330962420305,10.7641481221801,10.0895079487916,9.71946636806737,8.95431267568885,10.4100333054922
"gene004",9.63286260496104,9.64289930571732,10.8484819016727,8.72635429862592,11.0595392422993,9.19001899855975,9.73507214161444,8.12807313000279,9.04906691319192,8.59653252125249,6.13600955241373,6.87778386073435,6.83556817203502,6.56377565233087,5.67427288017657,6.17472552733132,5.79834326838162,4.88660824285333,5.56606905869826,4.84771237501798,6.37697339715261,6.61898391509652,5.88958543322321,6.673066651879,6.37967603240159,5.58347227243628,6.50878594116066,5.50890924778067,5.60512774601586,5.70608819177014
"gene005",6.404268323141,6.08976064659961,5.33322659124218,5.53215467532775,4.62313840175948,7.29770589960467,5.85352737300113,5.54660248877021,5.4216442716391,6.10465944083573,8.27984645505687,9.75016657518064,8.3394781409543,10.3033647558197,7.99165119457116,6.72222243922277,7.63431013941132,9.4211974396148,11.1786678674516,8.08554453065435,5.00406660345784,6.43113394448593,6.60043016931357,8.63370956294833,6.87655649579536,4.83366131121061,5.86409337439958,6.4759584384185,5.87194373357898,6.61067864500537
"gene006",5.89387548390852,6.27655074729146,6.10551381245607,4.76174767201379,4.84914443437289,4.96612627703525,5.94211266461872,7.18753427862908,5.001261344004,5.68111921326599,5.80187566994878,6.30105340384283,7.56406949329184,4.49977906220534,5.36456851796623,6.29052448094708,5.69106239132284,5.67704968815363,3.04122038086988,6.52872803253363,8.40251708695195,9.55831237018722,9.41584505959868,9.16611439867297,9.93338798756964,9.04189456618511,8.89121726304311,9.57315366805268,10.0962377318866,8.33348992013674
"gene007",10.5115219974389,9.67928881605527,8.57774411813114,8.99223796622267,8.29417860523988,8.26155924578694,9.48236946610453,8.70985468820992,8.9975672199934,10.6183439358834,4.97079119395173,7.49281111722931,4.37702406470845,5.39301076488096,4.79015931201266,6.42230635747361,5.54709711346277,6.88017990119152,6.08088823919911,6.83507892704858,6.16525142308015,6.49596128067201,5.89424935332301,7.90517553753426,3.57119247731758,7.24648913025954,6.75490016045464,4.98114042228435,4.7447821393801,4.9401171217295
"gene008",5.9053409615869,6.08983288657908,5.87764982804503,5.19971782204834,4.94594421792281,6.04656393945086,6.99294363677573,6.82854614496544,6.65551188281297,6.71418860148862,8.03304410414738,7.4745061998303,9.86389637347899,8.70775493434342,7.88353619934731,10.2947373632067,9.66322914451979,8.8051363932241,9.11013780461722,10.2091369740915,3.07152282142243,7.66188574094578,5.14343746175388,6.25371840131308,7.72799402342117,4.42202869579165,5.77618867838003,5.93812776556363,5.7345163053701,5.39416130083768
"gene009",8.01842371387704,3.00690991684707,6.1881930345015,5.46650767004956,5.35425627685751,4.98240388017389,4.75360450196796,5.70877229122083,7.47684227897655,8.96586536983324,4.77918691108091,6.91071755848602,5.4883972265638,4.7103166566764,6.62988116257594,6.16471401857395,7.3086295367487,7.18805498210378,6.21344832631265,7.29947254536082,8.15208577342145,7.9449653877955,10.1273273343222,7.5409780327457,9.45600264627721,8.7461795282109,9.07495517093992,8.46169489839555,11.5533024900403,7.94315857914588
"gene010",8.93728590094758,9.28488295353066,9.11916095799701,10.2876752455846,8.8146220323235,8.61671604011372,8.96651247515439,7.42363759525209,7.09084721172079,8.20492239544079,6.83620770394484,4.42046797214246,4.0826349745546,6.6941058487747,5.72747842982137,6.20495384080024,6.5010403098945,5.49023548823205,4.44218038736768,7.07573230420989,6.79858451222345,7.50832468678,6.91628162144845,3.77275175871965,5.42963965425435,6.46783054205061,4.35404519785,6.41695472611076,4.52169369404948,6.53310647267496
